epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84157,1.23959,2.64914,1.65384,0.00333,1,0.14851,0.09821,1.27042,3.04751,1.63393,6e-05,6e-05,6e-05
2,5.37753,1.37643,2.77843,1.779,0.00333,1,0.92667,0.66379,1.10662,3.10063,1.42765,0.000139723,0.000139723,0.000139723
3,7.97895,1.16496,2.06935,1.58777,0.00333,1,0.995,0.7325,0.69666,2.77439,1.0632,0.000219129,0.000219129,0.000219129
4,10.553,0.99783,1.32667,1.42278,0.00333,1,0.995,0.74303,0.9008,2.7096,1.20425,0.000298218,0.000298218,0.000298218
5,13.1171,1.06376,1.3249,1.47914,0.00333,1,0.995,0.78944,0.80518,2.65014,1.05824,0.00037699,0.00037699,0.00037699
6,15.6937,1.08133,1.2748,1.40374,0.89674,1,0.995,0.82981,0.71694,2.48125,0.97399,0.000455446,0.000455446,0.000455446
7,18.4053,1.05304,1.23823,1.43234,0.94295,1,0.995,0.77996,0.83027,2.26635,1.07788,0.000533585,0.000533585,0.000533585
8,20.9458,1.07266,1.13258,1.4219,0.97533,1,0.995,0.80506,0.77476,2.05591,1.03552,0.000611407,0.000611407,0.000611407
9,23.4985,1.07459,1.11474,1.40022,0.98392,1,0.995,0.81155,0.7951,1.9346,1.11302,0.000688912,0.000688912,0.000688912
10,26.0496,1.02913,1.12243,1.37691,0.95817,1,0.995,0.77218,0.79319,2.0111,1.14287,0.0007661,0.0007661,0.0007661
11,28.6021,1.08705,1.04309,1.39157,0.9901,1,0.995,0.8955,0.63564,1.58447,0.95269,0.000842972,0.000842972,0.000842972
12,31.1867,1.00666,1.09893,1.39076,0.98712,1,0.995,0.90377,0.55878,1.40708,0.91735,0.000919527,0.000919527,0.000919527
13,33.7727,1.05475,0.99558,1.37979,0.99194,1,0.995,0.81837,0.82268,1.18882,1.08289,0.000995765,0.000995765,0.000995765
14,36.3251,1.06872,1.05464,1.40334,0.98592,1,0.995,0.86687,0.65629,1.25229,0.93938,0.00107169,0.00107169,0.00107169
15,38.8438,1.01097,0.92018,1.36677,0.98846,1,0.995,0.84925,0.79391,1.24917,1.03695,0.00114729,0.00114729,0.00114729
16,41.4795,1.03561,0.90594,1.35867,0.98945,1,0.995,0.82574,0.68611,1.25236,0.98113,0.00122258,0.00122258,0.00122258
17,43.9851,1.02238,0.91334,1.37977,0.85218,0.96527,0.94786,0.67642,0.95854,1.61864,1.12269,0.00129755,0.00129755,0.00129755
18,46.4842,1.01653,0.93052,1.36326,0.95782,1,0.995,0.73846,1.03541,1.51212,1.20959,0.0013722,0.0013722,0.0013722
19,48.989,1.07671,0.92958,1.40188,0.64509,0.83333,0.76202,0.3008,1.79247,2.33523,1.90068,0.00144654,0.00144654,0.00144654
20,51.5042,1.0524,0.91156,1.4154,0.81991,1,0.92357,0.50664,1.09275,2.02595,1.24266,0.00152056,0.00152056,0.00152056
21,54.0121,1.04472,0.8911,1.39532,0.97332,1,0.995,0.6571,1.18363,1.26507,1.3159,0.00159426,0.00159426,0.00159426
22,56.5154,0.99804,0.88814,1.39433,0.98132,1,0.995,0.78839,0.94724,1.0008,1.20281,0.00166765,0.00166765,0.00166765
23,59.0196,1.02798,0.88881,1.37482,0.81131,1,0.94786,0.57225,1.15732,1.68348,1.32487,0.00174072,0.00174072,0.00174072
24,61.4959,1.02977,0.87502,1.35403,0.83248,1,0.97214,0.61973,1.31557,1.51904,1.44677,0.00181347,0.00181347,0.00181347
